dblkang;dibelakang
yayang;sayang
gokillllll;gila
aplks;aplikasi
pling;paling
ktawa;ketawa
baguuus;bagus
ayoook;ayo
kaaan;kan
banged;banget
ngepoin;mengepoi
uuhh;uh
dah;deh
beut;banget
pengeeenn;pengin
dongggg;dong
nyampe;sampai
hatii;hati
besook;besok
njayyy;anjay
maacih;terima kasih
tokayyy;tahi
to;tapi
mksdku;maksudku
cba;coba
nh;nih
"ilang""";hilang-hilang
ksini;kesini
kubarikan;kuberikan
giniin;beginikan
ayank;sayang
anyeng;anjing
njirrr;anjir
yankkk;sayang
cukurrr;cukur
gilaaaaaa;gila
yhaaa;ya
qaqaaaa;kakak
sayangkuuuuu;sayangku
banx;bang
edannn;edan
bape;bawa perasaan
telimakacih;terima kasih
nerawang;menerawang
cantiiiik;cantik
didapet;didapat
tanya2;tanya-tanya
kuningggg;kuning
mz;mas
nyolot;menyolot
sihhh;sih
kakk;kakak
elahh;alah
bela2in;membela-bela
marah2an;marah-marahan
syantiiiiikkkkkkkkkkkk;cantik
punyaaa;punya
nd;indak
"bwa""";bawa-bawa
subahanallah;subhanallah
kerrennn;keren
ngetik;mengetik
ntah;entah
pan;kapan
mateeeek;mati
geetoo;begitu
ginian;beginian
ntr;entar
sewain;menyewa
kokkk;kok
muluuu;melulu
yaaang;yang
dbuat;dibuat
gituu;begitu
yappp;ya
uwahhhhh;wah
psgn;pasangan
ujg;ujung
kki;kaki
hayukk;hayo
segitunya;sebegitunya
ntab;mantab
atuhhh;atuh
yukss;yuk
lihaatttt;lihat
niiiihh;nih
liattt;lihat
cuyyy;cuy
liatiii;lihat
jombsss;jomblo
emesshhh;gemas
gemeessss;gemas
poollll;pol
gemesyak;gemas ya
cntiknya;cantiknya
bngttt;banget
ngegmesin;menggemaskan
hndak;hendak
kh;kah
hndk;hendak
iiih;ih
lutunaa;lucunya
abiz;habis
aamiinin;amin
fhoto;foto
imuutt;imut
tay;tahi
toketnya;teteknya
tumpe2;tumpah-tumpah
tuuuuh;tuh
aneh2;aneh-aneh
macam2;macam-macam
"mbak""";mbak-mbak
mbaknyaahh;mbaknya
pyudara;payudara
lenje;lenjeh
ditutupin;ditutupi
cantiik2;cantik-cantik
hati.a;hatinya
mk.a;makanya
mlt.a;mulutnya
nyerocooooos;mencerocos
kyk.a;kayaknya
sklh;sekolah
pljrn;pelajaran
srng;sering
msk;masuk
ngalahin;mengalahkan
brisi;berisi
loo;loh
laa;lah
